"Date","SessionStart","FocalStart","FocalEnd","Type","Observer","Recorder","DeviceName","Group","UniqueFocalCode","ScanStart","GroupBehavior","GroupVisibility","ScanID","ScanBehavior","ScanBehaviorType","PlantPart","PlantSpecies","InvolvedID","x_position","y_position","device_ID","layout_info_json_version","behaviors_json_version","session_start_timeStamp","session_end_timeStamp","scan_timeStamp"
2022-02-08,"06:19:20","11:08:36","11:14:31","abort","Wil Esteban;Sarah","Wil Esteban","Tenorio","T","PAL_2022-02-08,11:08:36","11:08:36","Resting","26 - 50% Visible","PAL","REST",NA,NA,NA,NA,0,0,"7AE508F8-20A6-4E59-9809-42859598EEA8","v4.0","v4.0","2022-02-08,06:19:20","2022-02-08,16:02:46","2022-02-08,11:08:36"
2022-02-08,"06:19:20","11:08:36","11:14:31","abort","Wil Esteban;Sarah","Wil Esteban","Tenorio","T","PAL_2022-02-08,11:08:36","11:08:36","Resting","26 - 50% Visible","TEL",NA,NA,NA,NA,NA,-1.03728807,0.193220332,"7AE508F8-20A6-4E59-9809-42859598EEA8","v4.0","v4.0","2022-02-08,06:19:20","2022-02-08,16:02:46","2022-02-08,11:08:36"
2022-02-08,"06:19:20","11:08:36","11:14:31","abort","Wil Esteban;Sarah","Wil Esteban","Tenorio","T","PAL_2022-02-08,11:08:36","11:08:36","Resting","26 - 50% Visible","TAM",NA,NA,NA,NA,NA,1.067796588,-0.294915259,"7AE508F8-20A6-4E59-9809-42859598EEA8","v4.0","v4.0","2022-02-08,06:19:20","2022-02-08,16:02:46","2022-02-08,11:08:36"
2022-02-21,"13:10:46","13:39:39","13:46:38","abort","Wil Esteban;Lev;Sarah","Lev","Tenorio","T","PUC_2022-02-21,13:39:39","13:39:39","Socializing","25% or less Visible","PUC","FEED",NA,NA,NA,NA,0,0,"7AE508F8-20A6-4E59-9809-42859598EEA8","v4.0","v4.0","2022-02-21,13:10:46",NA,"2022-02-21,13:39:39"
2022-02-21,"13:10:46","13:39:39","13:46:38","abort","Wil Esteban;Lev;Sarah","Lev","Tenorio","T","PUC_2022-02-21,13:39:39","13:44:39","Socializing","25% or less Visible","PUC","VIGILANT",NA,NA,NA,NA,0,0,"7AE508F8-20A6-4E59-9809-42859598EEA8","v4.0","v4.0","2022-02-21,13:10:46",NA,"2022-02-21,13:44:39"
2022-02-22,"05:46:15","09:13:05","09:21:13","abort","Alex;Wil Esteban;Sam;Lev;Lara;Sarah","Lev","Tenorio","T","PES_2022-02-22,09:13:05","09:13:05","Foraging - Tree","26 - 50% Visible","PES","FORAGE","Tree",NA,NA,NA,0,0,"7AE508F8-20A6-4E59-9809-42859598EEA8","v4.0","v4.0","2022-02-22,05:46:15",NA,"2022-02-22,09:13:05"
2022-02-22,"05:46:15","09:13:05","09:21:13","abort","Alex;Wil Esteban;Sam;Lev;Lara;Sarah","Lev","Tenorio","T","PES_2022-02-22,09:13:05","09:18:06","Traveling - Tree","25% or less Visible","PES","TRAVEL","Tree",NA,NA,NA,0,0,"7AE508F8-20A6-4E59-9809-42859598EEA8","v4.0","v4.0","2022-02-22,05:46:15",NA,"2022-02-22,09:18:06"
2022-02-22,"05:46:15","09:13:05","09:21:13","abort","Alex;Wil Esteban;Sam;Lev;Lara;Sarah","Lev","Tenorio","T","PES_2022-02-22,09:13:05","09:18:06","Traveling - Tree","25% or less Visible","TRU",NA,NA,NA,NA,NA,-2.288135529,2.135593176,"7AE508F8-20A6-4E59-9809-42859598EEA8","v4.0","v4.0","2022-02-22,05:46:15",NA,"2022-02-22,09:18:06"
2022-02-22,"05:46:15","09:13:05","09:21:13","abort","Alex;Wil Esteban;Sam;Lev;Lara;Sarah","Lev","Tenorio","T","PES_2022-02-22,09:13:05","09:18:06","Traveling - Tree","25% or less Visible","TIQ",NA,NA,NA,NA,NA,-0.925423682,3.244067669,"7AE508F8-20A6-4E59-9809-42859598EEA8","v4.0","v4.0","2022-02-22,05:46:15",NA,"2022-02-22,09:18:06"
2022-02-23,"07:06:17","09:21:47","09:24:10","abort","Alex;Wil Esteban;Sam;Lara;Sarah","Sam","Tenorio","T","TIN_2022-02-23,09:21:47","09:21:47","Resting","51 - 75% Visible","TIN","FORAGE","Tree",NA,NA,NA,0,0,"7AE508F8-20A6-4E59-9809-42859598EEA8","v4.0","v4.0","2022-02-23,07:06:17",NA,"2022-02-23,09:21:47"
